order_id,date,product_name,quantity
397-43-0439,2022-05-08,Soup - Campbells Broccoli,46
817-22-8447,2022-05-08,Island Oasis - Magarita Mix,31
716-36-6850,2022-05-08,Wine - Maipo Valle Cabernet,75
314-11-6220,2022-05-08,Jolt Cola,92
128-25-0081,2022-05-08,"Tendrils - Baby Pea, Organic",46
364-50-1177,2022-05-08,Flavouring Vanilla Artificial,85
549-53-5781,2022-05-08,Eggplant - Regular,50
163-57-0196,2022-05-08,Rice - Wild,75
751-39-0142,2022-05-08,Wine - Chardonnay South,27
895-52-3200,2022-05-08,Bread - Assorted Rolls,9
513-10-0663,2022-05-08,"Water - Mineral, Natural",45
253-94-7705,2022-05-08,"Soup - Canadian Pea, Dry Mix",35
210-54-3099,2022-05-08,Rootbeer,87
